Cation,Anion,Meilleure Solubilite,Temp Opt,Temps Opt,Cellulose Opt
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,C=C(CCOc1ccc(Cl)c2c1Sc1ccccc1C2)C(=O)[O-],0.4564,40,0.5,Avicel
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,O=C(c1ccccc1)c1ccccc1N([O-])Nc1ccccc1,0.5975,200,10.0,Avicel
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,CN(C)CCCCCCCCCCCCCCCCC[NH-],0.4564,40,0.5,Avicel
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,COc1ccc(S(=O)(=O)N2CCC[C@H]2C(=O)[O-])cc1,0.4564,40,0.5,Avicel
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,CC(C)CC(C(=O)Nc1ccc(Nc2nc(F)nc(-c3c4ccccc4c4n3CCS4)n2)cc1)N(C(=O)[O-])C(C)(C)C,532.3447,160,0.5,MCC
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,CCCOc1ccc2c(c1)C(c1ccc(OC)cc1O)C(C(=O)[O-])C2c1ccc2c(c1)OCO2,23.2357,200,0.5,MCC
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,CC(C)CC(NC(=O)c1ccc(N2C[C@@H]3C[C@H]2C[C@H]3OCc2c(-c3c(Cl)cccc3Cl)noc2C2CC2)c(F)c1)S(=O)[O-],1318.9279,160,0.5,MCC
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,Cc1ccccc1[C@@H]1[C@@H](O[C@H](C)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)OC[C@@H]2CN(N([O-])CO)C[C@H]21,33.4464,200,0.5,Avicel
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,COc1ccc(Oc2cccc(Cl)c2CNC(=O)CC(C)(C)CC(=O)[O-])cc1,1.0906,200,10.0,Avicel
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,CCCn1c(SCC(=O)Nc2cc(C(=O)[O-])ccc2C)nc2sc3c(c2c1=O)CCC3,3.9998,200,0.5,cellulose
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,[c-]1ccc2ccccc2c1-c1cc(-c2ccccc2)c2ccccc2n1,1.4386,200,0.5,Avicel
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,CCC(C(=O)[O-])N1C(=O)C2C3c4ccccc4C(c4ccccc43)C2C1=O,1.4858,200,0.5,Avicel
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,CCCCOC(=O)C(C#N)=Cc1ccc(S(=O)(=O)[O-])c(N)c1,0.4564,40,0.5,Avicel
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,CC(C)c1ccc2c(c1)CC[C@@H]1[C@@](C)(C(=O)[O-])CCC[C@]21C,0.4564,40,0.5,Avicel
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,O=C([O-])CC1(CC(=O)N2CCC(Cc3ccccc3)CC2)CCCC1,0.9947,200,10.0,Avicel
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,c1n[nH]cc1-c1c[n-]c2ncc(C3CCC(N4CCCOCC4)CC3)cc12,1.8991,200,0.5,cellulose
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,CCCOC(=O)c1nnc(N=Nc2cc3c(cc2NS(=O)[O-])N(CC)C(CC)CC3)s1,3.4379,200,2.0,cellulose
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,O=C([O-])CC(=CCC(=O)OC1CCCCC1)C(=O)OC1CCCC1,0.6803,200,10.0,Avicel
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,COc1ccc2c(Oc3ccc(N(C4CC4)S(=O)[O-])cc3)ccnc2c1,1.4042,200,0.5,Avicel
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,CC(=O)N[C@@H](Cc1ccc(F)cc1)C(=O)N[C@H](CC(C)C)C(=O)[O-],0.4564,40,0.5,Avicel
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,CC(C)OC(=O)c1c(NC(=O)CCC(=O)[O-])sc2c1CCCCCCCCCC2,1.4388,200,0.5,Avicel
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,O=C([O-])C1CCN(S(=O)(=O)Oc2ccc3ccccc3c2)CC1,0.4564,40,0.5,Avicel
